input_type,n,fit_time,eval_time,accuracy
images,1,0.0001528914891362961,3.889367506905388e-06,0.0399933482996591
features,1,2.033878007182917e-05,8.421392691916147e-07,0.04830797372578365
images,2,0.0002974131426960725,7.7089734770381e-06,0.03658435187494803
features,2,4.026163293630879e-05,1.4607183830721974e-06,0.04830797372578365
images,3,0.0004558492084655008,1.2042281117293434e-05,0.034505695518416896
features,3,6.041658520634396e-05,2.0611534885773462e-06,0.05886754801696183
images,4,0.0006359282102743386,1.5432939470371686e-05,0.03583603558659682
features,4,7.922495342137811e-05,2.6689131125279494e-06,0.05886754801696183
images,5,0.0007365089705447058,1.9397047559469052e-05,0.03882930074000166
features,5,9.87417793672008e-05,3.298677890535967e-06,0.055874282863556994
images,6,0.0008854215451109549,2.789899850343912e-05,0.0390787395027854
features,6,0.00014332162718178466,3.9766086307453775e-06,0.049887752556747315
images,7,0.0010302561500246817,2.738550818999395e-05,0.03916188575704665
features,7,0.0001404847956217853,5.1135806935336255e-06,0.04298661345306394
images,8,0.0012027701225893802,3.1224363100132045e-05,0.0390787395027854
features,8,0.00015996012977713588,5.150962085803825e-06,0.04415066101272138
images,9,0.0013817984978743098,3.679788642269598e-05,0.04032593331670408
features,9,0.00018809840429388994,6.038680385464544e-06,0.05229899393032344
images,10,0.0015863085252625763,4.7929056123701445e-05,0.04065851833374907
features,10,0.00020098786850841465,6.485024445118814e-06,0.03384052548432693
images,15,0.002428269301482137,6.930229167609668e-05,0.04722707242038746
features,15,0.0003154401613230182,9.510258834428776e-06,0.045813586097946286
images,20,0.0029763037401169794,9.196736501155062e-05,0.047642803691693686
features,20,0.00040190784389161074,1.2574122390409985e-05,0.04331919847010892
images,25,0.003908056604232707,9.763112896013783e-05,0.0549596740666833
features,25,0.0004996322479739977,1.5952264737632318e-05,0.04298661345306394
images,30,0.004448871633476391,0.00012801461453420477,0.05396191901554835
features,30,0.0006416704279708074,1.923624627910134e-05,0.03442254926415565
images,35,0.005409043309045504,0.0001635182799531938,0.05786979296582689
features,35,0.0007526080671082207,2.4093611956570305e-05,0.039743909536875364
images,40,0.0066645130475186,0.0001720572185915842,0.05836867049139436
features,40,0.0008422643003312717,3.1133482331401376e-05,0.0445663922840276
images,45,0.007548220808681454,0.0002732904526487738,0.061611374407582936
features,45,0.0010237676874542653,3.1948710068737186e-05,0.04523156231811757
images,50,0.008380625062715872,0.0003016769833703999,0.05978215681383554
features,50,0.0011135215992059669,3.6753750560603325e-05,0.04406751475846013
