input_type,n,fit_time,eval_time,accuracy,test_set
images,1,0.0033222009738286336,4.550069570541382e-06,0.053125,set_2
images,1,0.003240975985924403,4.135072231292725e-06,0.028125,set_3
images,1,0.002997180571158727,4.202872514724732e-06,0.034375,set_4
images,1,0.003111796826124191,5.038827657699585e-06,0.0625,set_1
features,1,0.00017397676904996236,2.4303793907165526e-06,0.071875,set_2
features,1,0.0001990668475627899,2.1889805793762208e-06,0.03125,set_3
features,1,0.00015595207611719767,2.2903084754943846e-06,0.03125,set_4
features,1,0.00018030678232510883,2.150237560272217e-06,0.0375,set_1
images,2,0.006505124519268672,6.6481530666351315e-06,0.04375,set_2
images,2,0.006378007680177688,6.385147571563721e-06,0.03125,set_3
images,2,0.0059282844265302025,6.103515625e-06,0.0375,set_4
images,2,0.006227557609478632,6.1124563217163084e-06,0.034375,set_1
features,2,0.0003804070254166921,3.016740083694458e-06,0.075,set_2
features,2,0.0004309174915154775,2.8729438781738283e-06,0.034375,set_3
features,2,0.0003482287128766378,2.9340386390686036e-06,0.021875,set_4
features,2,0.0004102398951848348,2.9623508453369142e-06,0.03125,set_1
images,3,0.010453630238771439,9.173154830932618e-06,0.04375,set_2
images,3,0.010635919868946075,1.136884093284607e-05,0.021875,set_3
images,3,0.008841178317864736,1.2790411710739136e-05,0.04375,set_4
images,3,0.009748672445615133,1.0428577661514283e-05,0.04375,set_1
features,3,0.0006051721672217051,4.212558269500732e-06,0.071875,set_2
features,3,0.0006492813428243001,3.983825445175171e-06,0.040625,set_3
features,3,0.0005659726758797963,3.851950168609619e-06,0.021875,set_4
features,3,0.000643072525660197,4.297494888305664e-06,0.025,set_1
images,4,0.012804331382115682,1.0988861322402955e-05,0.059375,set_2
images,4,0.013403187443812688,2.2994726896286012e-05,0.025,set_3
images,4,0.013636250793933869,1.4007836580276489e-05,0.059375,set_4
images,4,0.013038543860117595,1.0419636964797974e-05,0.046875,set_1
features,4,0.0008802428841590881,4.649162292480469e-06,0.053125,set_2
features,4,0.0009128173192342122,4.53069806098938e-06,0.0625,set_3
features,4,0.0008066256841023763,4.637986421585083e-06,0.028125,set_4
features,4,0.0009332592288653056,4.738569259643555e-06,0.03125,set_1
images,5,0.016708536197741826,1.9624829292297363e-05,0.071875,set_2
images,5,0.015975062797466914,1.3368576765060424e-05,0.03125,set_3
images,5,0.014911227921644846,1.2075155973434449e-05,0.046875,set_4
images,5,0.01524228552977244,1.2074410915374755e-05,0.04375,set_1
features,5,0.001058781643708547,5.523860454559326e-06,0.0375,set_2
features,5,0.00113340492049853,5.60954213142395e-06,0.046875,set_3
features,5,0.0009920897583166758,5.245208740234375e-06,0.03125,set_4
features,5,0.00112651859720548,5.5730342864990234e-06,0.034375,set_1
images,10,0.0318296159307162,2.802908420562744e-05,0.040625,set_2
images,10,0.031116638084252676,2.709031105041504e-05,0.0375,set_3
images,10,0.03033429111043612,2.398267388343811e-05,0.053125,set_4
images,10,0.030174546192089716,2.2796541452407836e-05,0.071875,set_1
features,10,0.0022219441831111907,9.565800428390504e-06,0.03125,set_2
features,10,0.002253365268309911,9.275227785110474e-06,0.046875,set_3
features,10,0.0019738649328549704,9.742379188537597e-06,0.0375,set_4
features,10,0.0022149413824081423,9.388476610183715e-06,0.046875,set_1
images,15,0.04727797110875447,3.939792513847351e-05,0.040625,set_2
images,15,0.04608006204168002,3.343448042869568e-05,0.028125,set_3
images,15,0.04463533908128738,3.2798200845718386e-05,0.059375,set_4
images,15,0.043845184892416,3.2831728458404544e-05,0.06875,set_1
features,15,0.003166938324769338,1.3271719217300415e-05,0.046875,set_2
features,15,0.0033232202132542927,1.2990087270736694e-05,0.046875,set_3
features,15,0.002943528691927592,1.3007223606109619e-05,0.028125,set_4
features,15,0.003236050655444463,1.3622641563415528e-05,0.053125,set_1
images,20,0.06081546122829119,4.476457834243774e-05,0.0375,set_2
images,20,0.061627726753552756,4.631355404853821e-05,0.03125,set_3
images,20,0.05808847397565842,4.575103521347046e-05,0.053125,set_4
images,20,0.058320926626523335,4.266351461410522e-05,0.078125,set_1
features,20,0.0041880461076895395,1.7078220844268797e-05,0.059375,set_2
features,20,0.004378109673659007,1.779422163963318e-05,0.034375,set_3
features,20,0.003962472826242447,1.695379614830017e-05,0.0375,set_4
features,20,0.0043859260777632395,1.6989558935165407e-05,0.0375,set_1
images,30,0.08999915147821108,6.694942712783813e-05,0.034375,set_2
images,30,0.0893882691860199,6.68257474899292e-05,0.034375,set_3
images,30,0.08675497770309448,6.143972277641296e-05,0.05625,set_4
images,30,0.08692016750574112,6.460845470428467e-05,0.065625,set_1
features,30,0.006169505914052327,2.4884194135665894e-05,0.04375,set_2
features,30,0.0063654599090417225,2.46196985244751e-05,0.053125,set_3
features,30,0.005887951950232188,2.563297748565674e-05,0.04375,set_4
features,30,0.006582763542731603,2.4990737438201903e-05,0.03125,set_1
images,40,0.11931518862644831,8.51854681968689e-05,0.053125,set_2
images,40,0.11828819687167803,8.533895015716553e-05,0.05625,set_3
images,40,0.11508521934350331,8.403882384300232e-05,0.05625,set_4
images,40,0.11544565583268801,8.515715599060059e-05,0.0625,set_1
features,40,0.008207898338635762,3.3190101385116576e-05,0.028125,set_2
features,40,0.008373567461967468,3.205239772796631e-05,0.046875,set_3
features,40,0.007746419062217077,3.147423267364502e-05,0.040625,set_4
features,40,0.008844535052776336,3.235936164855957e-05,0.03125,set_1
