input_type,criterion,fit_time,eval_time,accuracy,test_set
images,entropy,0.005815142144759496,6.727129220962524e-06,0.040625,set_2
images,entropy,0.005723674595355987,4.534423351287842e-06,0.0375,set_3
images,entropy,0.005404861271381378,4.116445779800415e-06,0.034375,set_4
images,entropy,0.0058015652000904085,4.326552152633667e-06,0.05625,set_1
features,entropy,0.00043275952339172363,1.741945743560791e-06,0.025,set_2
features,entropy,0.0004431195557117462,1.6048550605773926e-06,0.03125,set_3
features,entropy,0.0004255245129267375,1.7151236534118651e-06,0.046875,set_4
features,entropy,0.00043692861994107564,1.95428729057312e-06,0.05,set_1
images,gini,0.0044187881052494046,4.203617572784424e-06,0.059375,set_2
images,gini,0.004833863923947016,4.163384437561035e-06,0.090625,set_3
images,gini,0.004068071395158768,4.077702760696411e-06,0.028125,set_4
images,gini,0.003376933435599009,4.279613494873047e-06,0.034375,set_1
features,gini,0.00020106757680575052,1.6674399375915528e-06,0.046875,set_2
features,gini,0.00020524064699808757,1.7553567886352539e-06,0.028125,set_3
features,gini,0.00019774138927459718,2.5756657123565673e-06,0.065625,set_4
features,gini,0.0002536453306674957,3.725290298461914e-06,0.04375,set_1
images,log_loss,0.006074976921081543,5.688518285751343e-06,0.04375,set_2
images,log_loss,0.005924040824174881,5.578994750976562e-06,0.0375,set_3
images,log_loss,0.005401468276977539,4.735589027404785e-06,0.025,set_4
images,log_loss,0.005805174012978872,5.102157592773437e-06,0.046875,set_1
features,log_loss,0.00044129217664400734,2.0325183868408204e-06,0.021875,set_2
features,log_loss,0.00044357528289159137,1.6808509826660156e-06,0.034375,set_3
features,log_loss,0.00044152215123176574,1.6860663890838624e-06,0.034375,set_4
features,log_loss,0.00044402355949083966,1.8149614334106445e-06,0.015625,set_1
