input_type,kernel,fit_time,eval_time,accuracy,test_set
images,linear,0.0009967073798179626,0.0017169304192066193,0.065625,set_2
images,linear,0.0009050428867340088,0.0016151495277881623,0.053125,set_3
images,linear,0.000894999752442042,0.001610824465751648,0.059375,set_4
images,linear,0.0008896102507909138,0.0016224384307861328,0.046875,set_1
features,linear,0.00015477960308392844,0.00010523870587348938,0.04375,set_2
features,linear,0.00015436137715975443,0.00010835453867912293,0.025,set_3
features,linear,0.00015372062722841898,0.00011002346873283387,0.053125,set_4
features,linear,0.00015488316615422566,0.00010831505060195922,0.034375,set_1
images,poly_2,0.0009201059738794963,0.0015964820981025697,0.071875,set_2
images,poly_2,0.0009015460809071858,0.0016444876790046691,0.04375,set_3
images,poly_2,0.0009273956219355265,0.001591505855321884,0.053125,set_4
images,poly_2,0.000928284227848053,0.0017476923763751983,0.046875,set_1
features,poly_2,0.00015959888696670532,0.00010571926832199096,0.034375,set_2
features,poly_2,0.00015921567877133687,0.00010874569416046143,0.025,set_3
features,poly_2,0.00016060918569564818,0.00012751668691635132,0.04375,set_4
features,poly_2,0.00015893702705701193,0.00010628774762153626,0.040625,set_1
images,poly_3,0.0010006030400594075,0.0016622960567474366,0.071875,set_2
images,poly_3,0.000986680140097936,0.0016948238015174865,0.040625,set_3
images,poly_3,0.0009096764028072357,0.0016739308834075929,0.05,set_4
images,poly_3,0.000903525451819102,0.001663103699684143,0.05625,set_1
features,poly_3,0.00015906840562820434,0.00010581612586975097,0.028125,set_2
features,poly_3,0.00015994161367416382,0.00011280179023742676,0.028125,set_3
features,poly_3,0.00015705029169718425,0.00011049583554267883,0.04375,set_4
features,poly_3,0.0001567848026752472,0.00011159256100654603,0.034375,set_1
